region,year,site-name,permit,status,latitude,longitude,operator,activities,accepts,tonnes-input,tonnes-treated-recovered,tonnes-output
South Lanarkshire,2019,"East Kilbride CA&Recycling Ctr, Peel Park, EK",WML/W/0020030,Operational,55.76340511495732,-4.219267589949395,VIRIDOR WASTE MANAGEMENT LTD,Civic amenity,Commercial / Household / Industrial,8882.87,0,8882.87
Fife,2019,"Cowdenbeath CA Site Extn,Cuddyhouse Rd",WML/L/1018846,Operational,56.10957877825541,-3.3649393111897203,FIFE COUNCIL,Civic amenity,Commercial / Household / Industrial,5237.89,0,5237.89
West Dunbartonshire,2019,Rogers Skip Hire Site 4 Lomond Ind Est Alexan,WML/L/1020968,Operational,55.99433570872595,-4.575548157835652,ROGERS SKIP HIRE LIMITED,Transfer station,Commercial,2718,1774,2472
Midlothian,2019,Stobhill Community Recycling Centre,WML/L/1023218,Operational,55.858314677498036,-3.061858009642941,MIDLOTHIAN COUNCIL,Civic amenity / Transfer station,Commercial / Household / Inert / Other special / Special asbestos,11696.62,0,11736.11
Perth and Kinross,2019,"Scottish Water, Perth WWTP, Perth",WML/E/0020218,Operational,56.383282485674066,-3.3838485943960834,SCOTTISH WATER,Other treatment / Transfer station,Commercial / Household / Industrial,90281.11,90281.75,11859.34
Aberdeenshire,2019,"Insch CA Site, Market Street, Insch",WML/N/0020029,Operational,57.34420564675207,-2.6105058390826588,ABERDEENSHIRE COUNCIL,Civic amenity,Household,352.3,0,352.3
North Lanarkshire,2019,"Newhouse Glass Recycling Facility, Newhouse",WML/L/1117120,Operational,55.82563609635568,-3.920561587384161,VIRIDOR WASTE MANAGEMENT LIMITED,Other treatment,Commercial,124246.65,116020.88,17586.22
Aberdeen City,2019,Altens East Recycling & Waste Mgment Facility,WML/L/1137739,Operational,57.119545284084424,-2.060448834883858,SUEZ RECYCLING & RECOVERY UK LTD,Transfer station,Commercial / Household,69295.28,68736.16,70937.33
Aberdeenshire,2019,Laurencekirk H/hld Waste & Recycling Centre,WML/E/0220219,Operational,56.83586903893954,-2.4669649324284304,ABERDEENSHIRE COUNCIL,Civic amenity,Commercial / Household,1993.62,0,1993.62
Glasgow City,2019,"60A Clydeholm Road, Glasgow",WML/W/0000043,Operational,55.871236550245,-4.340730694514639,CMI WASTE MANAGEMENT LIMITED,Transfer station,Commercial,50598.9,51999.5,49304.13
Glasgow City,2019,Shieldhall STW - WML,WML/W/0000124,Operational,55.86752004590423,-4.339531923794577,SCOTTISH WATER,Other treatment,Industrial,355055.75,355054.9,368.15
Fife,2019,"Fife Council, Cupar CA, Cupar",WML/E/0020070,Operational,56.319356967383236,-3.0041017148110214,FIFE COUNCIL,Civic amenity,Commercial / Household / Industrial,2280.79,0,2319.78
Aberdeen City,2019,"Unit 2, Howe Moss Cresent, Kirkhill Ind Est",WML/N/0020082,Operational,57.202918679243375,-2.220158836917762,PERSONNEL HYGIENE SERVICES LTD,Transfer station,Industrial / Other special,60.01,0,60.01
North Ayrshire,2019,"Lowmac Alloys, Unit 22, Oldhall West, Irvine",WML/W/0000233,Operational,55.59559537107742,-4.637589629695587,LOWMACK ALLOYS LTD,Transfer station,Commercial / Household / Industrial / Other special,104972.69,63658.11,105519.67
Midlothian,2019,"Newtongrange Transfer Station, Newtongrange",WML/E/0020044,Operational,55.85992853623736,-3.061246902597908,MIDLOTHIAN COUNCIL,Civic amenity / Transfer station,Commercial / Household / Industrial,739.72,0,739.72
Fife,2019,"Aberhill Metals TS, Unit 21 Cupar Trading Est",WML/E/0120018,Operational,56.32308158360815,-2.986766533032475,ABERHILL METALS LIMITED,Transfer station,Commercial,513.5,435.5,272.6
Fife,2019,"Dalgety Bay Recycling Centre, Ridgeway",WML/L/1020576,Operational,56.0438994729805,-3.3474309212453375,FIFE COUNCIL,Civic amenity,Commercial / Household / Industrial,5198.71,0,5198.71
Orkney Islands,2019,"Hatston Recycling Centre, Kirkwall, Orkney",WML/L/1022006,Operational,58.99326727097457,-2.9760754934003666,ORKNEY ISLANDS COUNCIL,Civic amenity,Household,2996.77,0,2923.37
West Dunbartonshire,2019,"Castlegreen Street Transfer Station,Dumbarton",WML/W/0000018,Operational,55.93894823551078,-4.550744083150965,HAROLD HOOD LTD,Transfer station,Commercial / Household / Industrial / Inert,3198.2,3198.2,3197.86
Glasgow City,2019,"Glasgow Recycling Centre, 211 Blochairn Rd",WML/W/0020181,Operational,55.87028495236286,-4.208911533160293,GLASGOW CITY COUNCIL,Transfer station,Commercial / Household / Industrial,27369.5,27337.16,26503.98
Dundee City,2019,"Dundee & Ferry Skip Hire T/S, Piper St,Dundee",WML/E/0120047,Operational,56.48582391922472,-2.9037580865736077,DUNDEE AND FERRY SKIP HIRE & RECYCLING,Transfer station,Commercial / Household / Industrial,5003,4999,3312.5
Highland,2019,"Dounreay, Building D2003, Thurso, Caithness",WML/L/1095876,Operational,58.58009542758651,-3.736431131627701,DOUNREAY SITE RESTORATION LIMITED,Transfer station,Industrial,0,488.04,1117.55
West Lothian,2019,"Biffa Waste Services, Westerton Rd, Broxburn",WML/E/0020002,Operational,55.9351123983295,-3.4482961716363185,BIFFA WASTE SERVICES LIMITED,Transfer station,Commercial,65113.14,64779.16,64445.27
Glasgow City,2019,"445 Balmore Road, Glasgow",WML/W/0000033,Operational,55.8916495366715,-4.258975127231817,E NICHOLSON & SON (METALS) LTD,Metal recycler,Industrial,7464.56,8064.23,8410.42
Clackmannanshire,2019,"Alloa Waste Disposal Services, Kelliebank",WML/E/0220199,Operational,56.1123945151195,-3.8051433469759988,MR JAMES MCQUILLAN,Transfer station,Commercial / Household / Industrial,1620,0,1800.6
Moray,2019,"Gollachy CA/TS, Buckie",WML/N/0020113,Operational,57.66491417961733,-2.9891323155997394,MORAY COUNCIL,Civic amenity / Transfer station,Commercial / Household / Industrial / Other special,4379.99,0,4379.99
Argyll and Bute,2019,"Bonaveh LFS, Isle of Colonsay",WML/W/0020048,Operational,56.079834320914784,-6.188564778009313,ARGYLL & BUTE COUNCIL,Civic amenity / Landfill (not operational) / Transfer station,Commercial / Household / Industrial / Inert,11.78,0,11.78
Dumfries and Galloway,2019,"Jocks Loaning Civic Amenity & Recycling, Dumf",WML/W/0020015,Operational,55.08657809967304,-3.6261580721023816,DUMFRIES & GALLOWAY COUNCIL,Civic amenity,Household,3135.99,0,3135.99
Falkirk,2019,"Dalderse WwTW, Abbots Road,  Falkirk",WML/E/0020163,Operational,56.01887011429942,-3.759907441499687,SCOTTISH WATER,Anaerobic digestion / Transfer station,Industrial,7314.2,7314.2,3814.38
West Lothian,2019,"Whitburn CA Site, Burnhouse Ind Est",WML/E/0220103,Operational,55.859236674744864,-3.701689863521086,WEST LOTHIAN COUNCIL,Civic amenity,Commercial / Household / Industrial / Other special,5040.09,0,5045.7
Fife,2019,"Cooks Birchwood Sidings T/S, Thornton, Fife",WML/E/0220175,Operational,56.15978185106022,-3.199967527401293,ANDREW COOK (CONTAINERS) LIMITED,Composting / Transfer station,Commercial / Household / Industrial,36002.15,30491.39,12316.41
Highland,2019,"HC Achuvoldrach RC & TS ,Midtown, Tongue",WML/N/0050280,Operational,58.496832696463414,-4.459053143013067,THE HIGHLAND COUNCIL,Civic amenity / Transfer station,Commercial / Household / Industrial / Other special,1520.34,0,1520.34
Fife,2019,"Kirkcaldy CA Recycling Centre, Denburn Rd",WML/L/1018848,Operational,56.12580788918325,-3.1505136208904507,FIFE COUNCIL,Civic amenity,Household,7508.54,0,7508.54
North Lanarkshire,2019,"Easdale Environmntl TS, 6A Mid Rd,Cumbernauld",WML/W/0020135,Operational,55.931016207045886,-3.9869645193651326,EASDALE ENVIROMENTAL DEVELOPMENTS LTD,Transfer station,Commercial / Other special,651.61,470.15,673.4
North Lanarkshire,2019,"Dow Waste TS, Lenziemill Road,Cumbernauld",WML/W/0220234,Operational,55.94177152689641,-3.9765450547359316,DOW GROUP LIMITED,Transfer station,Commercial / Household / Industrial,51930.82,46059.49,46105.6
West Lothian,2019,Oakbank Community Recycling Centre,WML/L/1022437,Operational,55.877598810527026,-3.48426685888483,WEST LOTHIAN COUNCIL,Civic amenity,Commercial / Household / Industrial,7003.32,0,7016.39
Dundee City,2019,"Nobel Road, Wester Gourdie Ind Est, Dundee",WML/E/0220117,Operational,56.47753435420624,-3.055849420853231,NWH WASTE SERVICES LIMITED,Transfer station,Commercial / Household / Industrial / Inert / Special asbestos,30682.92,21779.17,29229.66
City of Edinburgh,2019,Newbridge Resource Management Centre,WML/L/1131703,Operational,55.92999055103872,-3.4157681200698753,ENVA SCOTLAND LIMITED,Transfer station,Commercial,74620.44,6312.41,78320.18
Fife,2019,"Fife Council, Lochgelly TP & CA, Lochgelly",WML/E/0020090,Operational,56.1373086267488,-3.310396655568336,FIFE COUNCIL,Civic amenity,Commercial / Household / Industrial,2613.7,0,2613.7
Stirling,2019,Stirling STW Sludge Plant,WML/E/0020164,Operational,56.11864180343178,-3.917183083650615,SCOTTISH WATER,Other treatment / Transfer station,Industrial / Special asbestos,7.79,0,4054.94
Fife,2019,"Scottish Water, Dunfermline WWTW",WML/E/0020185,Operational,56.01988245678003,-3.409765314462008,SCOTTISH WATER,Other treatment / Transfer station,Commercial / Industrial,29772.65,29772.65,11300.5
Moray,2019,"Balloch Rd Civic Amenity Site, Keith",WML/N/0020180,Operational,57.53909177975449,-2.944740673164761,MORAY COUNCIL,Civic amenity,Commercial / Household / Industrial,1911.73,0,1911.95
Dumfries and Galloway,2019,"Locharmoss Civic Amenity & Recycling, Dumfrie",WML/W/0020014,Operational,55.08074323084111,-3.5546957092238514,DUMFRIES & GALLOWAY COUNCIL,Civic amenity,Household,4427.87,0,4429.07
Highland,2019,"SAC (Vet Science Division), Janetstown,Thurso",WML/N/0050300,Operational,58.57833822498912,-3.5551499469503476,SCOTTISH AGRICULTURAL COLLEGE,Incineration,Industrial,17.57,0,0.46
Aberdeenshire,2019,"Crows Nest Recycling Centre, Banchory",WML/L/1018935,Operational,57.064337971970396,-2.512345737620855,ABERDEENSHIRE COUNCIL,Transfer station,Commercial / Household / Industrial / Other special / Special asbestos,26554.77,0,26554.77
Renfrewshire,2019,"Wm Tracey, Burnbrae Road, Linwood",WML/W/0020110,Operational,55.8404526934954,-4.48759087752249,WILLIAM TRACEY LTD,Transfer station,Commercial / Household / Industrial,278654.82,217218.19,235354.51
North Lanarkshire,2019,"British Telecommunications plc, Eurocentral",WML/L/1090052,Operational,55.83147268259809,-3.9686618280391057,BRITISH TELECOMMUNICATIONS PLC,Transfer station,Commercial,262.28,0,262.28
Glasgow City,2019,"49 Finglen Place, Darnley",WML/W/0022002,Operational,55.810773799161495,-4.346149652827321,J & M MURDOCH & SON LIMITED,Transfer station,Commercial / Other special / Special asbestos,60845.88,54631.74,45197.47
West Lothian,2019,"Stewart Melrose (Bathgate) Ltd, Pond Ind Est",WML/E/0000044,Operational,55.88396885136707,-3.659646577055151,STEWART MELROSE (BATHGATE) LTD,Metal recycler,Commercial / Household / Industrial,43982.84,9970.25,41716.54
Dumfries and Galloway,2019,"Blacks Plantation CAS, Stranraer",WML/W/0020025,Operational,54.73626647033192,-4.437135863807923,DUMFRIES & GALLOWAY COUNCIL,Civic amenity,Household,1045.86,0,1045.86
Dumfries and Galloway,2019,"Plastic Technology, Garroch Loaning, Dumfries",WML/W/0020117,Operational,55.058180128440284,-3.6531302134203703,PLASTIC TECHNOLOGY SERVICES LTD,Other treatment,Commercial / Industrial,9580,8889,209
City of Edinburgh,2019,"All Urban Waste, 3 Albert Road, Leith",WML/E/0020203,Operational,55.974210491109375,-3.152179713294094,ALL URBAN WASTE DISPOSAL,Transfer station,Commercial / Household / Industrial,9984.05,5978.64,9984.2
Fife,2019,"St Andrews Recycling Centre CA,Largo Rd",WML/E/0220325,Operational,56.3275861861295,-2.8076988047096147,FIFE COUNCIL,Civic amenity,Commercial / Household / Industrial,2565.75,0,2565.75
Highland,2019,"HC Wick CASite, Airport Ind Estate, Wick",WML/N/0220176,Operational,58.44905597960253,-3.086700806706001,THE HIGHLAND COUNCIL,Civic amenity,Commercial / Household / Industrial,1963.84,0,1963.84
Glasgow City,2019,Patersons Waste Management,WML/W/0022011,Operational,55.838122763806034,-4.13985654888104,PATERSONS OF GREENOAKHILL  LTD,Transfer station,Commercial,746.67,0,811.09
Glasgow City,2019,"W H Malcolm Ltd, 865 South Street, Glasgow",WML/W/0220162,Operational,55.87453975174313,-4.346637464717823,W H MALCOLM LTD,Transfer station,Commercial / Industrial / Other special,166556.16,166376.66,89666.43
South Lanarkshire,2019,"Burnhead Road, Larkhall",WML/W/0000148,Operational,55.734409643313946,-3.945628088170973,DUNSMORE BROS,Transfer station,Commercial / Household / Industrial,1793.88,0,1767.79
Glasgow City,2019,"11-13 Glendale Street, Glasgow",WML/W/0020189,Operational,55.85798610592981,-4.2105626466357995,CHRISTIE & SON (METAL MERCHANTS) LTD,Metal recycler,Commercial,1801.92,1801.92,1804.54
West Lothian,2019,"Linlithgow CA Site, Braehead Road, Linlithgow",WML/E/0020018,Operational,55.97363957687379,-3.6111884449643177,WEST LOTHIAN COUNCIL,Civic amenity,Household,2122.29,0,2121.52
Highland,2019,"HC RC & TS,Ardachu CAS, Brora, Sutherland",WML/N/0050042,Operational,58.018014949257896,-3.873617446714237,THE HIGHLAND COUNCIL,Civic amenity / Transfer station,Commercial / Household / Industrial / Special asbestos,4541.07,0,4581.93
Aberdeenshire,2019,"Keenans, Hillhead of Auchreddie, New Deer",WML/N/0220079,Operational,57.51228016710327,-2.2280450161921186,KEENAN (RECYCLING) LTD,Composting,Commercial / Household,22970.7,22970.7,181.34
Aberdeenshire,2019,"J Williamsn 1988 ELV/MR,Dales IndEst,Peterhd",WML/N/0220084,Operational,57.49167705277535,-1.801663752825798,JOHN WILLIAMSON (1988),Metal recycler / Transfer station,Commercial / Household / Industrial / Other special,6252.21,0,5682.2
Midlothian,2019,"Old Pentland Sawmill, Loanhead",WML/E/0000091,Operational,55.88295008229868,-3.1752320695475023,M MCKENZIE,Transfer station,Commercial / Household / Industrial,8321.72,8321.72,11093.2
Falkirk,2019,"Kinneil Kerse Recycling Centre, Bo'ness",WML/E/0220304,Operational,56.008553687653524,-3.640553614440795,FALKIRK COUNCIL ROADS SERVICES,Civic amenity / Composting,Commercial / Household,20313.39,10261.2,10052.19
Highland,2019,"Portree L/S,Dunvegan Rd,Portree,Isle of Skye",WML/N/0050051,Operational,57.42476081228735,-6.2195943887299725,THE HIGHLAND COUNCIL,Civic amenity / Landfill (not operational) / Transfer station,Commercial / Household / Industrial / Special asbestos,8310.16,0,8360.06
Moray,2019,"Grays Recyc Serv TS,Nether Dallachy,Fochabers",WML/N/0220131,Operational,57.65669214194721,-3.0560344669900634,GRAYS RECYCLING SERVICES LTD,Composting / Transfer station,Commercial / Household / Industrial,20647.97,19592.86,16215.56
Dumfries and Galloway,2019,"Luce Bay Plant Hire Ltd, Droughduil, Dunragit",WML/W/0220200,Operational,54.87035056371599,-4.879535200534465,LUCE BAY PLANT HIRE LTD,Transfer station,Commercial / Household / Industrial,1111.6,0,592.04
Argyll and Bute,2019,"Moleigh L/F Site, Ariogan, By Oban, Argyll",WML/W/0020043,Operational,56.3855123073932,-5.453003178118922,SHANKS ARGYLL & BUTE LIMITED,Civic amenity / Composting / Landfill (not operational) / Transfer station,Commercial / Household / Industrial / Inert,11787.01,5577.82,9634.94
Scottish Borders,2019,"Charterhall Airfield, Duns, Berwickshire",WML/E/0220172,Operational,55.709099832972875,-2.384216188193234,DEPOTHIRE LIMITED,Transfer station,Commercial / Household / Industrial,9683.2,9683.2,2550.7
Highland,2019,"Wm Munro Construction, Composting ABP & TS",WML/N/0220249,Operational,57.677688697323056,-4.303330001551653,WILLIAM MUNRO CONSTRUCTION LTD,Composting / Transfer station,Commercial / Household / Industrial / Special asbestos,27830.86,25379.7,25932.76
Perth and Kinross,2019,"Binn Skips Transfer Station, Glenfarg",WML/E/0220286,Operational,56.305869858099804,-3.336853013395808,BINN SKIPS LIMITED,Composting / Transfer station,Commercial / Household / Industrial / Inert,102410.86,84647.35,113037.67
West Lothian,2019,"Dem-Master, Pottishaw Place, Bathgate",WML/E/0120045,Operational,55.883492350767646,-3.634809994169082,DEM-MASTER DEMOLITION LTD,Transfer station,Commercial / Industrial / Special asbestos,24850.8,24094.22,12622.37
Outer Hebrides,2019,"WIC Creed Business Park TP, Isle of Iewis",WML/N/0220227,Operational,58.19443713530988,-6.428089880461754,WESTERN ISLES COUNCIL,Anaerobic digestion / Civic amenity / Composting / Transfer station,Commercial / Household / Industrial / Other special,6222.82,3954.98,4751.17
Renfrewshire,2019,"Underwood Road Civic Amenity Site, Paisley",WML/W/0020086,Operational,55.84883959008268,-4.435940647216205,RENFREWSHIRE COUNCIL,Civic amenity,Household,7990.24,0,7990.24
Perth and Kinross,2019,"Scotloo,Kinnoull House TS, Friarton Rd, Perth",WML/L/1018791,Operational,56.376620045129776,-3.42150374756358,CASTLECROFT SECURITIES LIMITED,Other treatment / Transfer station,Commercial / Household / Industrial / Other special,13307.21,12335.17,13228.71
Argyll and Bute,2019,"Bogleha RF & CASite, Dunoon, Argyll",WML/W/0020184,Operational,55.957358742402896,-4.9281988747570376,SHANKS ARGYLL & BUTE LIMITED,Civic amenity,Commercial / Household / Industrial / Inert / Other special / Special asbestos,3659.88,0,3659.88
East Lothian,2019,"Smeaton Recycling Centre, Carberry Road, Carb",WML/L/1109747,Operational,55.908505694579766,-3.015873122000462,HAMILTON WASTE & RECYCLING LIMITED,Metal recycler / Transfer station,Commercial / Household / Industrial / Other special / Special asbestos,107323.95,104324.44,107165.95
Fife,2019,"Fife Council, Thornton T/S, Thornton",WML/E/0020094,Operational,56.16075557928426,-3.145648072788639,FIFE COUNCIL,Transfer station,Commercial / Household / Industrial,79111.82,0,75287.18
Highland,2019,"Granish Recyclg Ctr/TS,Granish Farm, Aviemore",WML/N/0220031,Operational,57.210915725154656,-3.815369750184234,DAVID RITCHIE & SONS LTD,Transfer station,Commercial / Household / Industrial,15972.68,15853.04,8675.17
East Ayrshire,2019,"Civic Amenity Site,Western Rd Depot, Kil",WML/W/0020050,Operational,55.61744617378394,-4.510152394514602,EAST AYRSHIRE COUNCIL,Civic amenity,Household,19319.83,2121.55,19319.83
City of Edinburgh,2019,"Seafield Comm Recycling Centre, Edinburgh",WML/L/1019777,Operational,55.96594205562478,-3.13581528665658,THE CITY OF EDINBURGH COUNCIL,Civic amenity / Transfer station,Commercial / Household / Industrial / Other special,9472.04,0,9472.04
Perth and Kinross,2019,"Binn Skips Ltd, Shore Road, Perth",WML/E/0000316,Operational,56.384411682861696,-3.426151385509957,BINN SKIPS LTD,Metal recycler / Transfer station,Commercial / Household / Industrial / Inert / Other special / Special asbestos,18627.74,4706.99,20221.11
West Lothian,2019,"PHS, Westrigg, Blackridge",WML/E/0000020,Operational,55.887590869482324,-3.7479474708568703,PERSONNEL HYGIENE SERVICES LTD,Transfer station,Commercial / Other special,474.01,0,474.01
Aberdeen City,2019,"Sclattie CA Site, Bankhead Ind Est, Bucksburn",WML/N/0020010,Operational,57.18124294772377,-2.178836293844997,SUEZ RECYCLING & RECOVERY NORTH EAST LTD,Civic amenity,Household,4441.3,0,4441.3
Dumfries and Galloway,2019,"Newton Stewart Household WRC, Newton Stewart",WML/L/1118000,Operational,54.953899920449764,-4.496533947430444,DUMFRIES AND GALLOWAY COUNCIL,Civic amenity,Household / Other special / Special asbestos,1368.61,0,1367.82
Aberdeenshire,2019,Kirkton Road Depot Transfer Station,WML/N/0220003,Operational,56.966584811866056,-2.227661712898029,ABERDEENSHIRE COUNCIL,Transfer station,Commercial / Household / Industrial / Special asbestos,9896.18,0,9896.18
West Dunbartonshire,2019,"Richmond Street, Council Depot, Clydebank",WML/W/0022023,Operational,55.90067206609332,-4.397830260387583,WEST DUNBARTONSHIRE COUNCIL,Transfer station,Household,4461.37,0,4461.37
Orkney Islands,2019,"OIC Chinglebraes Waste TS, St Ola, Orkney",WML/N/0050103,Operational,58.96510614244492,-2.995244312287972,ORKNEY ISLANDS COUNCIL,Transfer station,Commercial / Household / Industrial / Other special,12598.02,1631.62,10799.16
Orkney Islands,2019,"OIC Cursiter CASite,Cursiter Quarry, Orkney",WML/N/0220193,Operational,58.99456522755007,-3.0860834419119696,ORKNEY ISLANDS COUNCIL,Civic amenity,Commercial / Household / Industrial,705.23,0,705.23
Highland,2019,"HC Fridge/Freezer Storage TS, Fort William",WML/N/0050387,Operational,56.83785058933578,-5.069439380499189,THE HIGHLAND COUNCIL,Other treatment / Transfer station,Commercial / Household,130.05,0,130.05
East Ayrshire,2019,CUMNOCK SLUDGE TREATMENT CENTRE,WML/W/0020162,Operational,55.45728657770814,-4.281197318793672,SCOTTISH WATER,Other treatment,Industrial,12139.87,12139.87,2422.71
Dumfries and Galloway,2019,"Armstrong Waste, Newton Rd Ind Est, Dumfries",WML/W/0000199,Operational,55.08739664923434,-3.6368472082823566,ARMSTRONG WASTE MANAGEMENT LIMITED,Transfer station,Commercial / Household / Industrial / Inert,10903.15,10903.15,10322.11
South Ayrshire,2019,"Heathfield Waste Recovery & TS Facility, Ayr",WML/W/0220254,Operational,55.477383406211175,-4.5970299807252255,BARR ENVIRONMENTAL LIMITED,Transfer station,Commercial / Household / Industrial / Inert / Other special / Special asbestos,63134.2,63134.2,65707.68
Aberdeenshire,2019,"Ardlethen Quarry, Ardlethen Farm",WML/L/1019664,Operational,57.37498472847434,-2.1405295514266665,JAMES JAMIESON ARDLETHEN DEVELOPMENTS LIMTED,Transfer station,Household / Industrial,29887.82,106.66,29936.04
South Lanarkshire,2019,"Stirling Road Transfer Station, Carluke",WML/L/1023991,Operational,55.74349319889825,-3.8438680403504657,DOLAN SKIPS & PLANT HIRE LTD,Transfer station,Commercial / Household / Industrial,37531.61,37531.61,9202.02
Shetland Islands,2019,"Lerwick Energy Recovery Plant, Shetland",PPC/A/1003141,Operational,60.18287305568847,-1.1544291764695995,SHETLAND ISLANDS COUNCIL,Incineration,Commercial / Household / Industrial,20890.38,0,4851.72
Aberdeenshire,2019,"Eco-Centre, Damhead Way, Dales Ind Est Pthead",PPC/A/1035666,Operational,57.488109064233186,-1.8064875491663634,HALLIBURTON MANUFACTURING & SERVICES LTD,Other treatment,Industrial / Other special,15477.27,15167.86,13134.67
North Lanarkshire,2019,"Energen Biogas Ltd, Cumbernauld",PPC/A/1081847,Operational,55.9694545597797,-3.953965168010143,ENERGEN BIOGAS LIMITED,Anaerobic digestion / Other treatment,Commercial / Household / Industrial,120152.85,120152.85,9485.71
Dumfries and Galloway,2019,"Eco-Deco RDF Plant, Dumfries",PPC/W/0020027,Operational,55.08053323004235,-3.5528387890730784,DUMFRIES & GALLOWAY COUNCIL,Other treatment,Commercial / Household / Industrial,46809.99,46809.99,31810.43
Glasgow City,2019,"Clearwater DC 2001 Ltd, Glasgow",PPC/A/1004491,Operational,55.84706157138535,-4.213760780502223,CLEARWATER DC 2001 LIMITED,Other treatment,Commercial / Industrial / Other special,12523.33,7310.79,9833.96
East Ayrshire,2019,"William Tracy Ltd, Dunniflats Depot, Lugton",PPC/A/1017028,Operational,55.745766155598666,-4.519520643320265,ENVA SCOTLAND LIMITED,Other treatment / Transfer station,Commercial / Industrial / Other special,22162.88,22162.88,24228.69
East Dunbartonshire,2019,"Biffa Waste Services, Kilsyth WMRC",PPC/A/1015639,Operational,55.96219135526811,-4.0813707466372335,BIFFA WASTE SERVICES LIMITED,Transfer station,Commercial / Industrial / Other special,4896,3224.7,3284.47
Glasgow City,2019,Govan Transfer Station,WML/W/0020108,Operational,55.863990659140406,-4.349741473671776,GLASGOW CITY COUNCIL,Civic amenity / Transfer station,Household,102979.82,0,105344.63
Dumfries and Galloway,2019,"Aucheniness Waste Disposal Site, Dalbeatie",PPC/A/1000155,Operational,54.92801713004104,-3.795086054938528,RENEWI UK SERVICES LIMITED,Civic amenity / Landfill (not operational),Commercial / Household / Inert,604.37,0,604.37
Aberdeenshire,2019,"Damhead Waste Management Centre, Peterhead",PPC/A/1016776,Operational,57.4864871581583,-1.8091985126223273,ASCO UK LIMITED,Other treatment / Transfer station,Commercial / Household / Industrial / Other special,37028.87,21853.66,45301.71
Aberdeenshire,2019,"Keenans, Hillhead of Auchreddie, New Deer",PPC/A/1026140,Operational,57.51228016710327,-2.2280450161921186,KEENAN (RECYCLING) LTD,Anaerobic digestion,Commercial / Household / Industrial,61292.66,61292.66,19063.8
Aberdeenshire,2019,"EIS Waste Services, Gallowhill",WML/N/0020191,Operational,57.086557066579175,-2.1107574837782086,EIS WASTE SERVICES LTD,Transfer station,Commercial / Household / Industrial / Other special,87506.48,72677.48,63106.4
Renfrewshire,2019,"Lobnitz Dock, Meadowside Street, Renfrew",PPC/A/1123236,Operational,55.887214700657715,-4.391881915030427,CHRISTIE & SON (METAL MERCHANTS) LIMITED,Metal recycler,Commercial,45467.93,45316.81,57984.52
North Lanarkshire,2019,22 Albert Street Motherwell,WML/L/1038368,Operational,55.79040381335966,-3.9839298843028805,DIVERSE INVESTMENT SCOTLAND T/A NEW TOWN SKIP,Transfer station,Commercial / Household / Industrial,61361.21,57579.81,41202.82
Falkirk,2019,"Kinneil Kerse STW Sludge Dryer, Grangemouth",WML/E/0020210,Operational,56.01127699058215,-3.668005715369021,SCOTTISH WATER,Other treatment / Transfer station,Industrial,140252.13,140237.37,11146.68
City of Edinburgh,2019,"NWH, Leith Recycling Yard, Leith, Edinburgh",WML/L/1118800,Operational,55.97431649524168,-3.1533367399528096,NWH WASTE SERVICES LIMITED,Transfer station,Commercial / Household / Industrial,78616.01,61202.06,70623.79
Aberdeen City,2019,"Taylors Industrial Services, Hareness Circle",PPC/A/1015769,Operational,57.11360527700451,-2.0792644784554435,TAYLORS INDUSTRIAL SERVICES LIMITED,Other treatment / Transfer station,Commercial / Household / Industrial / Other special,95577.07,95148.25,50823.53
Aberdeenshire,2019,"Upperton Ind Est, Damhead, Peterhead",WML/L/1088164,Operational,57.48541654749265,-1.808169878851961,A & M SMITH SKIP HIRE LTD,Transfer station,Commercial / Household,19996,9350,23031
Perth and Kinross,2019,"North Perth Recycling Centre, Perth",WML/L/1106110,Operational,56.41837254985662,-3.480454871262556,PERTH & KINROSS COUNCIL,Civic amenity,Commercial / Household,2900,0,2900
Dundee City,2019,"MVV Baldovie Incinerator, Dundee",PPC/A/1003157,Operational,56.48597257714688,-2.9006109395486908,MVV ENVIRONMENTAL BALDOVIE LTD,Incineration,Commercial / Household / Industrial / Other special,102817.8,0,29389.24
Perth and Kinross,2019,"Earnside Energy Ltd, Glenfarg",PPC/A/1004887,Operational,56.307873546024375,-3.3352094175219773,EARNSIDE ENERGY LIMITED,Anaerobic digestion / Composting,Commercial / Household / Industrial,56266.89,51882.94,18098.07
Highland,2019,"Scottish Water TS, Ullapool Water Depot",WML/N/0050362,Operational,57.90701653301666,-5.159400503257479,SCOTTISH WATER,Transfer station,Industrial / Special asbestos,0,0,3.18
Perth and Kinross,2019,"Friarton Waste Transfer Station, Perth",WML/L/1082282,Operational,56.375865962012774,-3.424568893006918,PERTH & KINROSS COUNCIL,Civic amenity / Transfer station,Commercial / Household / Industrial / Other special,53786.8,0,53786.8
Perth and Kinross,2019,"Viridor Enviroscot, Friarton Bridge Pk, Perth",PPC/A/1035205,Operational,56.37593295562345,-3.4132187530987204,VIRIDOR WASTE MANAGEMENT LTD,Other treatment,Commercial / Household / Other special,27865.94,27865.44,27878.82
Moray,2019,"Moycroft Civic Amenity & TS, Elgin",WML/N/0020116,Operational,57.65110732785534,-3.2936392935767995,MORAY COUNCIL,Civic amenity / Transfer station,Commercial / Household / Industrial / Other special / Special asbestos,2463.29,77.44,2463.29
